NAME                                                        VERSION                                                                  TYPE                        
@duplicati/ngclient                                         0.0.65                                                                   npm                          
Aliyun OSS SDK for C#                                       2.13.0                                                                   dotnet                       
AlphaVSS                                                    2.0.3+Branch.master.Sha.2800471697f06364d7a57ff891a96f343a044a21         dotnet                       
Amazon Web Services SDK for .NET                            3.7.102.54                                                               dotnet                       
Amazon Web Services SDK for .NET                            3.7.400.45                                                               dotnet                       
Amazon Web Services SDK for .NET                            3.7.402.39                                                               dotnet                       
Amazon Web Services SDK for .NET                            3.7.405.9                                                                dotnet                       
Amazon.SecretsManager.Extensions.Caching                    1.0.0.0                                                                  dotnet                       
Artalk.Xmpp                                                 1.0.5                                                                    dotnet                       
Avalonia                                                    0.7.0.0                                                                  dotnet                       
Avalonia                                                    11.2.0.0                                                                 dotnet     (+17 duplicates)  
Bouncy Castle for .NET (netstandard2.0)                     1.8.5.50                                                                 dotnet                       
BouncyCastle.NET                                            2.4.0.33771                                                              dotnet                       
COSXML                                                      5.4.11.0                                                                 dotnet                       
CoCoL                                                       1.8.0.0                                                                  dotnet                       
Crc32.NET                                                   1.2.0.5                                                                  dotnet                       
DnsClient.NET                                               1.4.0.0                                                                  dotnet                       
Duplicati.CommandLine                                       2.1.0.3                                                                  dotnet                       
Duplicati.CommandLine.AutoUpdater                           2.1.0.3                                                                  dotnet                       
Duplicati.CommandLine.BackendTester                         2.1.0.3                                                                  dotnet                       
Duplicati.CommandLine.BackendTester.Implementation          2.1.0.3                                                                  dotnet                       
Duplicati.CommandLine.BackendTool                           2.1.0.3                                                                  dotnet                       
Duplicati.CommandLine.BackendTool.Implementation            2.1.0.3                                                                  dotnet                       
Duplicati.CommandLine.Implementation                        2.1.0.3                                                                  dotnet                       
Duplicati.CommandLine.RecoveryTool                          2.1.0.3                                                                  dotnet                       
Duplicati.CommandLine.RecoveryTool.Implementation           2.1.0.3                                                                  dotnet                       
Duplicati.CommandLine.SecretTool                            2.1.0.3                                                                  dotnet                       
Duplicati.CommandLine.SecretTool.Implementation             2.1.0.3                                                                  dotnet                       
Duplicati.CommandLine.ServerUtil                            2.1.0.3                                                                  dotnet                       
Duplicati.CommandLine.ServerUtil.Implementation             2.1.0.3                                                                  dotnet                       
Duplicati.CommandLine.SharpAESCrypt                         2.1.0.3                                                                  dotnet                       
Duplicati.CommandLine.Snapshots                             2.1.0.3                                                                  dotnet                       
Duplicati.GUI.TrayIcon                                      2.1.0.3                                                                  dotnet                       
Duplicati.GUI.TrayIcon.Implementation                       2.1.0.3                                                                  dotnet                       
Duplicati.Library.AutoUpdater                               2.1.0.3                                                                  dotnet                       
Duplicati.Library.Backend.AliyunOSS                         1.0.0.0                                                                  dotnet                       
Duplicati.Library.Backend.AzureBlob                         2.1.0.3                                                                  dotnet                       
Duplicati.Library.Backend.Backblaze                         2.1.0.3                                                                  dotnet                       
Duplicati.Library.Backend.Box                               2.1.0.3                                                                  dotnet                       
